rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
1,오디세이,98%,780.6만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001323/30001323_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
2,스파이더맨-브랜드 뉴 데이,97%,829.7만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001192/30001192_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
3,경주기행,93%,6.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001350/30001350_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
4,오크 스트리트의 마지막 날,85%,4.3만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001389/30001389_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
5,비광,,,개봉예정,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001338/30001338_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
6,사랑의 하츄핑-고래보석의 전설,98%,79.8만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001045/30001045_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
7,싱 어게인,,,개봉예정,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001369/30001369_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
8,명탐정 코난-하이웨이의 타천사,93%,38.2만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001326/30001326_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
9,터치드 콘서트 [하이라이트 포] - 더 무비,99%,"1,161",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001382/30001382_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
10,극장판 귀멸의 칼날-무한성편,96%,581.8만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89833/89833_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
11,마루 밑 아리에티,99%,109만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001359/30001359_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
12,드라큘라-러브 테일,87%,"6,811",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001311/30001311_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
13,오케이 마담2,77%,32.3만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001325/30001325_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
14,BOYNEXTDOOR TOUR 'KNOCK ON Vol.2' IN JAPAN,,,개봉예정,2026-08-29,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001394/30001394_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
15,인시디어스-그들이 넘어왔다,91%,12.6만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001222/30001222_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
16,핵소 고지,,,재개봉,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000079/79446/79446_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
17,파라노만,94%,1.5만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76813/76813_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
