rank,title,egg_index_raw,cumulative_viewers_raw,release_info_raw,age_rating,poster_url,crawled_at,source_url
1,오디세이,98,976.8만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001323/30001323_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
2,스파이더맨-브랜드 뉴 데이,97,873.7만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001192/30001192_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
3,인턴,,,2026.09.16 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001399/30001399_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
4,암살자(들),,,2026.09.23 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001314/30001314_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
5,옵세션,94,13.3만,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001420/30001420_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
6,호프,85,454만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001297/30001297_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
7,딥 워터,,,2026.09.09 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001353/30001353_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
8,이누야샤 극장판-시대를 초월한 마음,,,2026.09.09 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001449/30001449_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
9,경주기행,93,27.9만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001350/30001350_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
10,아이유 콘서트 - 더 골든 아워,,,2026.09.09 재개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000087/87246/87246_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
11,비광,83,5.6만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001338/30001338_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
12,타짜-벨제붑의 노래,,,2026.09.23 개봉,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001342/30001342_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
13,싱 어게인,95,4.3만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001369/30001369_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
14,아이유 콘서트 - 더 위닝,,,2026.09.16 재개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89400/89400_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
15,사랑의 하츄핑-고래보석의 전설,98,85만,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001045/30001045_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
16,더 드라마,,,2026.09.09 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001377/30001377_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
17,모모와 다락방의 수상한 요괴들,95,30.8만,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76431/76431_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
18,사탄탱고,,,2026.09.16 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001510/30001510_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
19,핵소 고지,97,18.4만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000079/79446/79446_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
20,명탐정 코난-하이웨이의 타천사,92,41.7만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001326/30001326_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
21,마루 밑 아리에티,99,109.6만,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001359/30001359_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
22,캐리어를 끄는 소녀,95,"3,585 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001392/30001392_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
23,파묘,95,"1,191.4만",,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000088/88012/88012_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
24,위커 맨-파이널 컷,95,1.7만,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001395/30001395_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
25,WANNA ONE GO in LA,99,0 ,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001416/30001416_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
26,오크 스트리트의 마지막 날,87,12.8만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001389/30001389_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
27,드라큘라-러브 테일,90,1.5만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001311/30001311_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
28,신극장판 은혼-요시와라 대염상,,,2026.09.09 재개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001088/30001088_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
29,퍼피 구조대-더 다이노 무비,98,10.8만,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001288/30001288_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
30,리틀 드래곤-몬스터섬의 비밀,,,2026.09.09 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001344/30001344_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
31,사진의 얼굴,95,"2,833 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001379/30001379_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
32,곤지암,79,268.9만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000080/80557/80557_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
33,극장판 귀멸의 칼날-무한성편,96,582.7만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89833/89833_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
34,어떻게 해야 했을까,97,9.6만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001329/30001329_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
35,산산조각,90,"3,581 ",,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001401/30001401_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
