rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
1,오디세이,98%,382.1만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001323/30001323_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
2,스파이더맨-브랜드 뉴 데이,97%,696.5만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001192/30001192_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
3,명탐정 코난-하이웨이의 타천사,93%,18.4만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001326/30001326_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
4,오케이 마담2,77%,15.7만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001325/30001325_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
5,사랑의 하츄핑-고래보석의 전설,97%,57.5만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001045/30001045_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
6,마루 밑 아리에티,,,재개봉,2026-08-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001359/30001359_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
7,퍼피 구조대-더 다이노 무비,99%,2.9만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001288/30001288_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
8,에이티즈 - 라이트 더 웨이 인 시네마,,,개봉예정,2026-08-19,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001348/30001348_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
9,호프,85%,446만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001297/30001297_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
10,어떻게 해야 했을까,97%,6.5만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001329/30001329_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
